Date,alabama,alaska,arizona,arkansas,california,colorado,connecticut,delaware,district-of-columbia,florida,georgia,guam,nebraska,nevada,new-hampshire,new-jersey,new-mexico,new-york,north-carolina,north-dakota,ohio,oklahoma,oregon,washington
2020-09-24,-0.571457999102189,-0.28620256121349924,-1.0212322873476427,-0.2321399403788873,-0.7469966635672598,-0.8784447892650074,-0.9968863313206168,-0.9191299004930624,-0.8447831303215277,-1.2214449785176233,-0.4715563635074007,0.3075007024821811,-0.567628697746203,-0.855881723157688,-0.9020745091977848,-1.0181961311521026,-0.8828651201415159,-0.8764902961006248,-0.5111636863014222,-0.13214074848987734,-0.8521749859113941,-0.3444537514696869,-0.5332806819279753,-0.8521311803900449
2020-09-25,-0.6071468382491194,-0.28620256121349924,-1.053727041871574,-0.1563284386162866,-0.7785870601774033,-0.9004716140136384,-0.9894808116369473,-0.9500093642414356,-0.8053303992759678,-1.2439739144537625,-0.5021447239609895,0.22975377980503994,-0.4464467139684214,-0.8714567705414824,-0.8685612205096298,-1.0331524670685792,-0.8496111106086436,-0.8741004843916031,-0.5101303485367753,-0.13214074848987734,-0.8461653652063037,-0.34983924378315945,-0.5401106805209307,-0.7877944645038193
2020-09-26,-0.6195006671845954,-0.28620256121349924,-1.062589247650828,-0.2402626012820231,-0.7971486491460752,-0.9004716140136384,-0.9894808116369473,-0.9191299004930624,-0.8053303992759678,-1.2542996767578265,-0.5469081782833146,0.19088031846646938,-0.4699012914737985,-0.9065006271550201,-0.8797323167390148,-1.0219352151312218,-0.8606957804529344,-0.8706243946330263,-0.4987636331256601,0.0019362253391731728,-0.8261332961893358,-0.3695860489325588,-0.458150697405465,-0.8559156930892345
2020-09-27,-0.575575942080681,-0.28620256121349924,-1.0817906935058783,-0.22672483311013011,-0.8103559336045533,-0.8674313768906918,-0.9894808116369473,-0.8959703026817826,-0.8546463130829177,-1.2524222654298147,-0.5193040481178808,0.19088031846646938,-0.4659921952229023,-0.9065006271550201,-0.8573901242802447,-1.0272767636728206,-0.8828651201415159,-0.8675828160942716,-0.4956636198317196,-0.06957149403632043,-0.8167849973147507,-0.3695860489325588,-0.458150697405465,-0.8105015406989577
2020-09-28,-0.559104170166713,-0.28620256121349924,-1.0928684507299458,-0.12113024136936483,-0.804823152277353,-0.9048769789633646,-0.9913321915578647,-0.8959703026817826,-0.9138254096512575,-1.2435045616217597,-0.5334791419866172,0.11313339578932825,-0.47381038772469464,-0.8889786988482512,-0.9020745091977848,-1.0246059894020212,-0.8459162206605467,-0.8671483048744495,-0.5163303751246564,0.010874690261109874,-0.7887401006909956,-0.3695860489325588,-0.458150697405465,-0.9618820486665473
2020-09-29,-0.5316512169767665,-0.14250995300093663,-1.0396952160544217,-0.12113024136936483,-0.793579112805946,-0.8564179645163763,-0.9598587329022699,-0.8650908389334095,-0.8842358613670875,-1.2190982143576088,-0.4678260756472069,0.03538647311218712,-0.5129013502336565,-0.8987131034631228,-0.9355877978859397,-1.012854582610504,-0.8311366608681591,-0.8675828160942716,-0.46156347359837385,0.010874690261109874,-0.794749721396086,-0.2995746488574156,-0.5127906861491088,-0.9353904597722191
2020-09-30,-0.5275332739982745,-0.046714880859228244,-1.0249248730889984,-0.140083116810015,-0.7857261328576617,-0.8652286944158287,-0.9376421738512617,-0.8033319114366633,-0.8645094958443077,-1.2552383824218323,-0.4984144361007958,-0.003486988226383442,-0.5089922539827603,-0.887031817925277,-0.9244167016565548,-0.9936250078607484,-0.8126622111276744,-0.8536784570599641,-0.4553634470104928,-0.13214074848987734,-0.7833982156198043,-0.2816230078125071,-0.6357306608223074,-0.8521311803900449
2020-10-01,-0.5494956365502317,-0.3101513292489263,-0.9806138441927285,-0.15362088498190798,-0.7967916955120623,-0.8255804098682928,-0.9320880340885096,-0.7570127158141037,-0.8349199475601378,-1.2632173805658815,-0.5267646238382684,0.07425993445075768,-0.4659921952229023,-0.8928724606941999,-0.9132456054271697,-0.9701221942777137,-0.8089673211795775,-0.8521576677905868,-0.4729301890094891,0.019813155183046573,-0.7767208592808149,-0.3139359616933424,-0.6562206566011739,-0.7537338502111116
2020-10-02,-0.5604768178262104,-0.3341000972843534,-1.0057234272339481,-0.16986620678817957,-0.8037522913753142,-0.7771213954213045,-0.9265338943257576,-0.7184133861286373,-0.8053303992759678,-1.274481848533951,-0.576004423592826,0.19088031846646938,-0.4620830989720061,-0.8656161277725595,-0.8573901242802447,-0.9674514200069144,-0.7978826513352868,-0.8443364658337889,-0.4915302687731322,0.06450547979273008,-0.8007593421011765,-0.29059882833496137,-0.5947506692645745,-0.9013298454795114
2020-10-03,-0.579693885059173,-0.38199763335520764,-0.9916916014167959,-0.16715865315380096,-0.8192797744548763,-0.7947428552202094,-0.9265338943257576,-0.7184133861286373,-0.9532781406968174,-1.2833995523420063,-0.5752583660207873,0.15200685712789883,-0.44253761771752526,-0.9065006271550201,-0.8909034129683998,-0.9904200787357891,-0.7757133116467053,-0.8445537214436999,-0.4915302687731322,-0.03381763434857363,-0.7747176523791182,-0.2331535769912541,-0.615240665043441,-0.9391749724714088
